AppName,word,count,total_tokens,tf,df_platforms,idf,tfidf
Amazon shopping,000,110,778915,0.00014122208456635192,4,1.0,0.00014122208456635192
Amazon shopping,100,629,778915,0.0008075335562930487,4,1.0,0.0008075335562930487
Amazon shopping,1000,89,778915,0.00011426150478550292,4,1.0,0.00011426150478550292
Amazon shopping,101,7,778915,8.986859926949667e-06,4,1.0,8.986859926949667e-06
Amazon shopping,10day,1,778915,1.283837132421381e-06,4,1.0,1.283837132421381e-06
Amazon shopping,10k,5,778915,6.419185662106905e-06,4,1.0,6.419185662106905e-06
Amazon shopping,10pm,55,778915,7.061104228317596e-05,3,1.2231435513142097,8.636744102024167e-05
Amazon shopping,10th,32,778915,4.108278823748419e-05,4,1.0,4.108278823748419e-05
Amazon shopping,10x,20,778915,2.567674264842762e-05,4,1.0,2.567674264842762e-05
Amazon shopping,10yr,8,778915,1.0270697059371048e-05,3,1.2231435513142097,1.2562536875671515e-05
Amazon shopping,110,19,778915,2.439290551600624e-05,4,1.0,2.439290551600624e-05
Amazon shopping,11th,12,778915,1.5406045589056572e-05,4,1.0,1.5406045589056572e-05
Amazon shopping,120,50,778915,6.419185662106905e-05,4,1.0,6.419185662106905e-05
Amazon shopping,1200,9,778915,1.1554534191792429e-05,4,1.0,1.1554534191792429e-05
Amazon shopping,125,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,12th,19,778915,2.439290551600624e-05,4,1.0,2.439290551600624e-05
Amazon shopping,130,23,778915,2.9528254045691763e-05,4,1.0,2.9528254045691763e-05
Amazon shopping,13th,27,778915,3.466360257537729e-05,4,1.0,3.466360257537729e-05
Amazon shopping,140,13,778915,1.6689882721477953e-05,4,1.0,1.6689882721477953e-05
Amazon shopping,14th,27,778915,3.466360257537729e-05,4,1.0,3.466360257537729e-05
Amazon shopping,150,60,778915,7.703022794528286e-05,4,1.0,7.703022794528286e-05
Amazon shopping,1500,19,778915,2.439290551600624e-05,4,1.0,2.439290551600624e-05
Amazon shopping,15th,19,778915,2.439290551600624e-05,4,1.0,2.439290551600624e-05
Amazon shopping,160,14,778915,1.7973719853899334e-05,4,1.0,1.7973719853899334e-05
Amazon shopping,16th,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,170,10,778915,1.283837132421381e-05,4,1.0,1.283837132421381e-05
Amazon shopping,17th,25,778915,3.2095928310534525e-05,4,1.0,3.2095928310534525e-05
Amazon shopping,180,12,778915,1.5406045589056572e-05,4,1.0,1.5406045589056572e-05
Amazon shopping,18th,18,778915,2.3109068383584858e-05,4,1.0,2.3109068383584858e-05
Amazon shopping,1998,6,778915,7.703022794528286e-06,2,1.5108256237659907,1.1637924218426842e-05
Amazon shopping,1999,8,778915,1.0270697059371048e-05,3,1.2231435513142097,1.2562536875671515e-05
Amazon shopping,19th,28,778915,3.594743970779867e-05,4,1.0,3.594743970779867e-05
Amazon shopping,1month,2,778915,2.567674264842762e-06,4,1.0,2.567674264842762e-06
Amazon shopping,1st,228,778915,0.0002927148661920749,4,1.0,0.0002927148661920749
Amazon shopping,1star,8,778915,1.0270697059371048e-05,4,1.0,1.0270697059371048e-05
Amazon shopping,200,138,778915,0.0001771695242741506,4,1.0,0.0001771695242741506
Amazon shopping,2000,21,778915,2.6960579780849e-05,4,1.0,2.6960579780849e-05
Amazon shopping,2001,2,778915,2.567674264842762e-06,2,1.5108256237659907,3.879308072808948e-06
Amazon shopping,2002,8,778915,1.0270697059371048e-05,2,1.5108256237659907,1.551723229123579e-05
Amazon shopping,2003,2,778915,2.567674264842762e-06,2,1.5108256237659907,3.879308072808948e-06
Amazon shopping,2004,3,778915,3.851511397264143e-06,2,1.5108256237659907,5.818962109213421e-06
Amazon shopping,2005,11,778915,1.4122208456635191e-05,2,1.5108256237659907,2.1336194400449213e-05
Amazon shopping,2006,6,778915,7.703022794528286e-06,3,1.2231435513142097,9.421902656753636e-06
Amazon shopping,2007,8,778915,1.0270697059371048e-05,2,1.5108256237659907,1.551723229123579e-05
Amazon shopping,2008,6,778915,7.703022794528286e-06,3,1.2231435513142097,9.421902656753636e-06
Amazon shopping,2009,9,778915,1.1554534191792429e-05,2,1.5108256237659907,1.7456886327640263e-05
Amazon shopping,2010,14,778915,1.7973719853899334e-05,3,1.2231435513142097,2.198443953242515e-05
Amazon shopping,2011,10,778915,1.283837132421381e-05,3,1.2231435513142097,1.5703171094589392e-05
Amazon shopping,2012,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,2013,10,778915,1.283837132421381e-05,3,1.2231435513142097,1.5703171094589392e-05
Amazon shopping,2014,13,778915,1.6689882721477953e-05,4,1.0,1.6689882721477953e-05
Amazon shopping,2015,17,778915,2.1825231251163477e-05,3,1.2231435513142097,2.6695390860801967e-05
Amazon shopping,2016,14,778915,1.7973719853899334e-05,4,1.0,1.7973719853899334e-05
Amazon shopping,2017,15,778915,1.9257556986320715e-05,4,1.0,1.9257556986320715e-05
Amazon shopping,2018,40,778915,5.135348529685524e-05,4,1.0,5.135348529685524e-05
Amazon shopping,2019,101,778915,0.0001296675503745595,4,1.0,0.0001296675503745595
Amazon shopping,2020,157,778915,0.00020156242979015683,4,1.0,0.00020156242979015683
Amazon shopping,2021,208,778915,0.00026703812354364725,4,1.0,0.00026703812354364725
Amazon shopping,2022,148,778915,0.0001900078955983644,4,1.0,0.0001900078955983644
Amazon shopping,2023,206,778915,0.0002644704492788045,4,1.0,0.0002644704492788045
Amazon shopping,2024,141,778915,0.00018102103567141473,4,1.0,0.00018102103567141473
Amazon shopping,20th,24,778915,3.0812091178113144e-05,4,1.0,3.0812091178113144e-05
Amazon shopping,21st,28,778915,3.594743970779867e-05,4,1.0,3.594743970779867e-05
